법정동코드,시군구,5대범죄_발생건수_총합
1111000000,종로구,2765.0
1114000000,중구,2955.0
1117000000,용산구,3322.0
1120000000,성동구,2117.0
1121500000,광진구,2870.0
1123000000,동대문구,3216.0
1126000000,중랑구,3169.0
1129000000,성북구,2184.0
1130500000,강북구,2289.0
1132000000,도봉구,1741.0
1135000000,노원구,3101.0
1138000000,은평구,3217.0
1141000000,서대문구,2054.0
1144000000,마포구,3891.0
1147000000,양천구,3000.0
1150000000,강서구,4008.0
1153000000,구로구,3378.0
1154500000,금천구,2017.0
1156000000,영등포구,4167.0
1159000000,동작구,2454.0
1162000000,관악구,4485.0
1165000000,서초구,3788.0
1168000000,강남구,6107.0
1171000000,송파구,5174.0
1174000000,강동구,3350.0